I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,FOCAL_DEPTH,EQ_PRIMARY,LATITUDE,LONGITUDE,DEATHS
7974,,1967,8,30,10,6.8,31.6,100.3,
6420,Tsu,1967,9,3,40,7,-10.6,-79.8,
4416,,1967,10,25,65,7,24.5,122.2,2
6630,Tsu,1967,12,21,33,7.5,-21.7,-69.5,1
6422,Tsu,1968,1,29,40,7.3,43.586,146.701,
4427,,1968,2,12,74,7.8,-5.5,153.2,
4428,Tsu,1968,2,19,15,7.2,39.368,24.957,20
4431,,1968,2,28,,7.6,37.7,-29.4,
4432,Tsu,1968,4,1,30,7.5,32.3,132.5,1
4438,Tsu,1968,5,16,7,8.2,40.8,143.2,52
4439,Tsu,1968,5,16,33,7.5,41.5,142.7,
4440,,1968,5,23,21,7.1,-41.7,172,3
4441,,1968,5,28,65,7.7,-2.9,139.3,
4443,Tsu,1968,6,12,44,7.2,39.4,143.1,
4445,,1968,6,19,33,7,-5.6,-77.2,15
4447,Tsu,1968,7,25,60,7.3,-30.8,-178.4,
4448,Tsu,1968,8,1,36,7.3,16.5,122.2,270
4451,,1968,8,2,36,7.5,16.5,-97.8,18
4452,Tsu,1968,8,10,25,7.6,1.4,126.2,
4454,Tsu,1968,8,14,23,7.4,0.2,119.8,
4456,,1968,8,31,13,7.3,34,59,10488
4466,,1968,10,7,516,7.5,26.3,140.6,
4468,,1968,10,14,5,6.9,-31.6,117,
4469,,1968,10,23,21,7.5,-3.4,143.3,
4472,,1969,1,5,47,7.5,-7.9,158.9,
4473,,1969,1,19,204,7.6,45,143.2,
4474,,1969,1,30,70,7.5,4.8,127.4,
4476,Tsu,1969,2,23,13,7.4,-3.1,118.9,64
4477,Tsu,1969,2,28,22,7.8,36.017,-10.95,13
4486,Tsu,1969,3,31,33,7,27.7,34,2
4489,,1969,7,18,6,7.4,38.2,119.4,
4494,Tsu,1969,8,11,30,8.2,43.6,147.9,
4508,,1969,11,21,20,7.7,2.1,94.6,
4509,Tsu,1969,11,22,51,7.3,57.7,163.6,
4511,Tsu,1969,12,25,7,7.2,15.8,-59.7,
4513,,1970,1,4,31,7.8,24.1,102.5,10000
4514,Tsu,1970,1,10,73,7.6,6.8,126.7,
4515,,1970,2,5,11,7.1,12.6,122.1,3
4523,,1970,3,28,20,7.4,39.2,29.5,1086
4526,Tsu,1970,4,7,40,7.3,15.78,121.71,15
4531,Tsu,1970,5,31,43,7.9,-9.2,-78.8,66794
4538,,1970,6,11,33,7.6,-59.1,157.8,
4539,,1970,6,24,12,7.5,51.8,-131,
6430,Tsu,1970,7,25,34,7,32.2,131.7,
4544,,1970,7,31,651,7.1,-1.5,-72.6,1
9962,,1970,8,11,39,7.5,-14.095,166.57,
4550,Tsu,1970,10,31,8,7.3,-4.907,145.471,15
4551,,1970,12,10,25,7.6,-4,-80.7,82
4554,,1971,1,10,34,8.1,-3.1,139.7,
4555,,1971,2,4,40,7.1,0.6,98.8,
6433,Tsu,1971,5,2,43,7.1,51.4,-177.2,
4572,Tsu,1971,7,9,58,7.8,-32.5,-71.2,83
4574,Tsu,1971,7,14,47,7.9,-5.5,153.9,2
4576,Tsu,1971,7,26,48,7.9,-4.9,153.2,
6434,Tsu,1971,8,2,51,7.3,41.4,143.5,
4582,Tsu,1971,9,5,9,7.1,46.5,141.2,
6437,Tsu,1971,9,25,115,7,-6.5,146.6,
4586,,1971,10,27,40,7.1,-15.5,167.2,1
4588,Tsu,1971,12,15,33,7.8,56,163.3,
4589,,1972,1,4,33,7.6,22.6,122.1,
4590,Tsu,1972,1,25,33,7.5,22.5,122.3,1
4591,,1972,1,25,33,7.7,23,122.2,
4595,Tsu,1972,2,29,56,7.2,33.3,140.8,
4600,,1972,4,10,11,6.9,28.4,52.8,30000
4603,,1972,4,24,33,6.9,23.6,121.6,4
4604,,1972,4,25,50,7.2,13.4,120.3,
4605,,1972,6,11,325,7.8,3.9,124.3,
4609,Tsu,1972,7,30,25,7.6,56.82,-135.68,
6441,Tsu,1972,8,17,10,7.1,-6,152.9,
4615,,1972,11,2,32,7,-20,168.8,
4616,Tsu,1972,12,2,73,7.4,6.5,126.6,
4617,Tsu,1972,12,4,66,7.4,33.3,140.7,
4622,Tsu,1973,1,30,43,7.5,18.48,-103,56
4624,,1973,2,6,33,7.6,31.4,100.58,
4629,Tsu,1973,2,28,27,7.2,50.5,156.6,
4632,Tsu,1973,3,17,33,7.5,13.4,122.8,15
4638,Tsu,1973,6,17,48,7.7,43.2,145.8,
4639,Tsu,1973,6,24,50,7.1,43.3,146.4,
4640,,1973,7,14,33,7.5,35.18,86.48,
4645,,1973,10,6,33,7.5,-60.82,-21.55,
4651,,1973,12,28,26,7.5,-14.46,166.6,
4652,,1973,12,29,47,7.2,-15.12,166.9,
6443,Tsu,1974,1,31,34,7,-7.5,155.9,
6598,Tsu,1974,2,1,40,7.1,-7.4,155.6,
4658,,1974,5,10,11,7.1,28.24,104.01,20000
4663,,1974,7,13,12,7.3,7.75,-77.69,11
6444,Tsu,1974,8,18,36,7.1,-38.5,-73.4,
4666,Tsu,1974,10,3,13,8.1,-12.27,-77.79,78
4669,,1974,10,8,47,7.5,17.3,-62,
4677,,1975,1,19,33,6.8,32.46,78.43,47
4680,,1975,2,2,10,7.6,53.11,173.5,
4681,,1975,2,4,33,7.4,40.64,122.58,300
6447,Tsu,1975,3,13,4,6.9,-29.9,-71.3,2
4690,,1975,5,10,6,7.7,-38.18,-73.23,
4691,Tsu,1975,5,26,33,7.7,35.997,-17.649,
6449,Tsu,1975,6,10,15,7,43.024,147.734,
4694,Tsu,1975,7,20,49,7.9,-6.59,155.054,
4695,,1975,7,20,44,7.7,-7.104,155.152,
4702,,1975,10,11,9,7.8,-24.894,-175.119,
4703,Tsu,1975,10,31,50,7.6,12.54,125.993,1
4704,Tsu,1975,11,29,2,7.7,19.451,-155.033,
4705,Tsu,1975,12,26,33,7.8,-16.265,-172.467,
4708,,1976,1,14,69,7.8,-29.208,-177.886,
4709,Tsu,1976,1,14,33,8,-28.427,-177.657,
6450,Tsu,1976,1,21,41,7,44.915,149.123,
4711,Tsu,1976,2,4,5,7.5,15.324,-89.101,23000
4717,,1976,4,8,33,7,40.31,63.77,
4724,,1976,5,17,10,7,40.38,63.47,
4725,,1976,5,29,8,7.3,24.57,98.953,
4726,,1976,5,29,10,7.4,24.531,98.71,
4729,,1976,6,25,33,7.1,-4.603,140.091,6000
4735,,1976,7,27,23,7.5,39.57,117.98,242769
4737,,1976,7,28,26,7.4,39.664,118.401,
4739,Tsu,1976,8,16,33,8,6.292,124.09,1200
7362,,1976,8,17,22,6.8,7.249,122.939,
4746,,1976,10,29,33,7.1,-4.517,139.918,133
4752,,1976,11,24,36,7.3,39.12,44.03,5000
4755,,1976,11,30,82,7.3,-20.52,-68.92,1
4760,,1977,3,4,89,7.5,45.777,26.703,1641
4764,,1977,3,18,37,7.3,16.77,122.33,1
4765,,1977,3,21,29,6.9,27.61,56.39,167
4769,Tsu,1977,4,2,33,7.6,-16.696,-172.095,
6798,Tsu,1977,4,20,33,6.8,-9.828,160.323,34
6797,Tsu,1977,4,20,19,7.6,-9.89,160.348,
4773,,1977,4,20,33,7.5,-9.844,160.822,
4774,Tsu,1977,4,21,33,8.1,-9.965,160.731,18
4777,Tsu,1977,6,22,65,7.2,-22.878,-175.9,1
4779,Tsu,1977,8,19,33,8,-11.085,118.464,
6453,Tsu,1977,10,10,33,7.2,-25.856,-175.406,
4784,,1977,11,23,13,7.4,-31.03,-67.77,70
4789,,1978,2,9,33,7.7,-30.68,-177.36,
4796,Tsu,1978,3,23,46,6.8,44.209,148.971,
4797,Tsu,1978,3,23,33,7.5,44.932,148.439,
4798,Tsu,1978,3,24,33,7.6,44.244,148.862,
4799,,1978,3,24,33,7.1,42.839,78.606,
4806,Tsu,1978,6,12,44,7.7,38.19,142.028,28
6455,Tsu,1978,6,14,24,6.9,8.249,122.403,
6456,Tsu,1978,7,23,17,7.4,22.282,121.512,
4812,,1978,8,3,58,7,-26.51,-70.54,
4815,,1978,9,16,33,7.8,33.386,57.434,20000
4818,,1978,11,1,7,6.8,39.35,72.61,
4819,Tsu,1978,11,29,18,7.7,16.01,-96.591,9
4820,,1978,12,6,91,7.5,44.592,146.581,
4824,,1978,12,23,33,7,23.247,122.075,2
4825,,1979,1,16,33,6.8,33.897,59.472,200
4827,,1979,2,16,53,6.9,-16.39,-72.658,18
6457,Tsu,1979,2,28,18,7.5,60.691,-141.671,
4828,Tsu,1979,3,14,49,7.6,17.813,-101.276,5
4830,Tsu,1979,4,15,10,6.9,42.096,19.209,131
4842,Tsu,1979,9,12,5,7.9,-1.679,136.04,15
4846,,1979,10,12,33,7.5,-46.675,165.707,
4847,,1979,10,15,10,6.9,32.634,-115.324,
4850,,1979,10,27,58,6.8,13.833,-90.881,4
4856,Tsu,1979,11,16,33,6.9,-16.76,-179.984,
4860,,1979,11,27,10,7.5,33.962,59.726,17
4863,Tsu,1979,12,12,33,7.7,1.598,-79.358,600
6459,Tsu,1980,2,23,44,7,43.53,146.753,
4881,,1980,7,8,33,7.5,-12.41,166.381,
4885,Tsu,1980,7,17,33,7.9,-12.525,165.916,
4896,Tsu,1980,10,10,10,7.7,36.195,1.354,5000
4901,,1980,11,8,19,7.2,41.117,-124.253,5
4903,,1980,11,23,20,6.9,40.914,15.366,4689
6460,Tsu,1981,1,18,33,6.9,38.64,142.75,
4911,,1981,1,23,33,6.8,30.927,101.098,150
4920,Tsu,1981,5,25,33,7.6,-48.786,164.357,
4923,,1981,7,28,33,7.1,30.013,57.794,3000
4927,Tsu,1981,9,1,25,7.7,-14.96,-173.085,
4930,,1981,10,16,33,7.5,-33.134,-73.074,1
4932,Tsu,1981,10,25,33,7.3,18.048,-102.084,9
4935,,1981,12,19,10,7.5,39.243,25.227,
4936,Tsu,1982,1,11,46,7.1,13.752,124.358,
4943,,1982,6,7,34,7,16.558,-98.358,9
6601,Tsu,1982,7,23,37,6.8,36.194,141.702,
4948,,1982,8,5,31,7.5,-12.597,165.931,
4958,Tsu,1982,12,19,33,7.7,-24.133,-175.864,
7283,Tsu,1983,1,17,14,7.2,38.026,20.228,
4965,Tsu,1983,3,18,89,7.6,-4.883,153.581,
4972,,1983,4,3,37,7.3,8.717,-83.123,6
4978,Tsu,1983,5,26,24,7.7,40.462,139.102,4
6465,Tsu,1983,6,21,10,6.9,41.346,139.099,
4985,Tsu,1983,8,6,2,7,40.142,24.766,
4991,Tsu,1983,10,4,15,7.3,-26.535,-70.563,5
5677,,1983,10,28,14,7.3,43.974,-113.916,2
4999,,1983,10,30,12,6.9,40.33,42.187,1342
5007,Tsu,1983,11,30,10,7.6,-6.852,72.11,
5018,,1983,12,30,215,7.2,36.372,70.738,26
5024,,1984,2,7,18,7.5,-10.012,160.469,
5028,,1984,3,19,15,7,40.32,63.35,
6466,Tsu,1984,3,24,44,7,44.117,148.192,
6467,Tsu,1984,9,18,48,6.9,34.006,141.5,
6330,Tsu,1984,12,28,33,7,56.2,163.4,
5054,,1985,1,26,5,6.9,-33.053,-68.467,6
5056,Tsu,1985,3,3,40,8,-33.132,-71.708,180
5062,,1985,4,9,38,7.5,-34.131,-71.618,2
5068,,1985,5,10,27,7.1,-5.599,151.045,1
5069,Tsu,1985,7,3,46,7.2,-4.439,152.828,
5072,,1985,8,23,7,7.5,39.431,75.224,71
5076,Tsu,1985,9,19,28,8.1,18.19,-102.533,9500
5078,Tsu,1985,9,21,31,7.6,17.802,-101.647,
5079,,1985,9,27,32,6.9,-9.829,159.854,
5085,,1985,11,17,10,7.1,-1.639,134.911,
5086,,1985,11,28,33,7.6,-13.987,166.185,
5088,,1985,12,21,43,7.6,-13.966,166.516,
5095,Tsu,1986,5,7,19,8,51.52,-174.776,
7877,,1986,6,24,102,7.1,-4.448,143.943,
5107,,1986,8,30,132,6.9,45.547,26.316,2
5115,Tsu,1986,10,20,29,8.1,-28.117,-176.367,
5116,Tsu,1986,11,14,34,7.8,23.901,121.574,15
5126,Tsu,1987,2,8,55,7.6,-6.088,147.689,3
5129,Tsu,1987,3,5,62,7.3,-24.388,-70.161,1
5130,,1987,3,6,10,7.2,0.083,-77.785,5000
5138,,1987,8,8,70,6.9,-19.022,-69.991,5
5140,,1987,9,3,33,7.7,-58.893,158.513,
6470,Tsu,1987,10,6,16,7.3,-17.94,-172.225,
6471,Tsu,1987,10,12,25,6.8,-7.288,154.371,
5147,Tsu,1987,10,16,48,7.7,-6.266,149.06,
6472,Tsu,1987,11,17,10,7.2,58.586,-143.27,
5152,Tsu,1987,11,30,10,7.9,58.679,-142.786,
5159,Tsu,1988,3,6,15,7.8,57.262,-142.747,
5162,Tsu,1988,7,5,53,6.8,-5.964,148.78,
5164,Tsu,1988,8,6,91,7.2,25.149,95.127,38
5165,Tsu,1988,8,10,36,7.6,-10.258,160.896,
5176,,1988,11,6,18,7.3,22.789,99.611,738
5184,,1988,12,7,5,6.8,40.987,44.185,25000
5194,,1989,4,25,19,6.8,16.773,-99.328,3
5198,Tsu,1989,5,23,10,8.2,-52.341,160.568,
6475,Tsu,1989,9,4,11,6.9,55.543,-156.835,
5213,Tsu,1989,10,18,19,6.9,37.036,-121.883,62
5217,Tsu,1989,11,1,29,7.4,39.837,142.76,
5220,,1989,12,15,24,7.5,8.337,126.729,2
7709,,1990,3,3,33,7.6,-22.122,175.163,
5225,Tsu,1990,3,25,22,7,9.919,-84.808,
5229,Tsu,1990,4,5,11,7.5,15.125,147.596,
5231,,1990,4,18,26,7.6,1.186,122.857,3
5233,,1990,4,26,8,6.9,35.986,100.245,126
5237,,1990,5,20,15,7.1,5.121,32.145,31
5239,,1990,5,24,16,7,5.358,31.848,
5245,,1990,6,14,18,7.1,11.76,121.899,4
5246,,1990,6,14,58,6.8,47.869,85.076,1
5248,,1990,6,20,19,7.7,36.957,49.409,50000
5253,,1990,7,16,25,7.8,15.679,121.172,2412
5265,,1990,11,15,48,6.8,3.908,97.457,1
8958,,1990,12,30,179,7.5,-5.097,150.967,
5272,,1991,1,5,20,7.1,23.613,95.901,
6478,Tsu,1991,2,9,10,6.9,-9.929,159.139,
5282,Tsu,1991,4,22,10,7.6,9.685,-83.073,87
5286,,1991,4,29,17,7,42.453,43.673,270
5294,,1991,6,20,31,7.5,1.196,122.787,
6481,Tsu,1991,10,14,23,7.2,-9.094,158.442,
5307,,1991,10,19,10,7,30.78,78.774,2000
6482,Tsu,1991,12,22,24,7.6,45.533,151.021,
5317,,1992,3,13,27,6.9,39.71,39.605,653
5321,Tsu,1992,4,25,15,7.1,40.368,-124.316,
5324,Tsu,1992,5,17,33,7.5,7.191,126.762,
5327,,1992,5,25,23,7,19.613,-77.872,
6331,Tsu,1992,5,27,19,7,-11.122,165.239,
5328,,1992,6,28,1,7.6,34.201,-116.436,3
6484,Tsu,1992,7,18,29,7,39.419,143.33,
5332,,1992,8,19,27,7.5,42.142,73.575,75
5335,Tsu,1992,9,2,40,7.7,11.727,-87.386,
5338,,1992,9,11,11,7,-6.087,26.651,8
5341,,1992,10,17,14,7,6.845,-76.806,
5342,,1992,10,18,10,7.4,7.075,-76.862,11
5343,Tsu,1992,12,12,28,7.8,-8.48,121.896,1000
5344,,1993,1,15,102,7.6,43.3,143.691,2
5354,Tsu,1993,6,8,71,7.5,51.218,157.829,
5357,Tsu,1993,7,12,17,7.7,42.851,139.197,23
5360,Tsu,1993,8,8,59,7.8,12.982,144.801,
5362,,1993,9,10,34,7.2,14.717,-92.645,1
5366,,1993,10,13,25,6.9,-5.889,146.02,60
6487,Tsu,1993,11,13,34,7,51.934,158.647,
5375,Tsu,1994,1,21,20,7,1.015,127.733,9
5379,,1994,2,15,23,6.9,-4.967,104.302,207
5383,,1994,3,9,563,7.6,-18.039,-178.413,
5385,Tsu,1994,6,2,18,7.8,-10.477,112.835,
5387,,1994,6,6,12,6.8,2.917,-76.057,650
5388,,1994,6,9,631,8.2,-13.841,-67.553,5
5389,,1994,6,18,14,6.8,-42.963,171.658,
6488,Tsu,1994,9,1,10,7,40.402,-125.68,
5392,Tsu,1994,10,4,14,8.3,43.773,147.321,11
5393,Tsu,1994,10,8,17,6.8,-1.258,127.98,1
6605,Tsu,1994,10,9,33,7.3,43.905,147.916,
5394,Tsu,1994,11,14,32,7.1,13.525,121.067,81
5397,Tsu,1994,12,28,27,7.8,40.525,143.419,3
5399,Tsu,1995,1,16,22,6.9,34.583,135.018,5502
5403,,1995,2,5,21,7.1,-37.759,178.752,
6491,,1995,3,19,33,6.9,-4.183,135.109,
5407,Tsu,1995,4,7,21,7.4,-15.199,-173.529,
6492,Tsu,1995,4,21,21,7.2,12.059,125.58,
6493,Tsu,1995,4,21,23,6.8,12.047,125.92,
5410,Tsu,1995,5,14,13,6.9,-8.452,125.049,
5411,Tsu,1995,5,16,20,7.7,-23.008,169.9,
5412,Tsu,1995,5,27,11,7.1,52.629,142.827,1989
5414,,1995,7,11,13,6.8,21.966,99.196,11
5416,Tsu,1995,7,30,46,8,-23.34,-70.294,3
5417,Tsu,1995,8,16,30,7.7,-5.799,154.178,
5418,Tsu,1995,9,14,23,7.4,16.779,-98.597,3
5420,,1995,10,3,24,7,-2.75,-77.881,2
5422,,1995,10,6,33,6.8,-2.045,101.436,84
5423,Tsu,1995,10,9,33,8,19.055,-104.205,49
6495,Tsu,1995,10,18,28,7.1,27.929,130.175,
6496,Tsu,1995,10,19,20,6.8,28.094,130.148,
5426,Tsu,1995,11,22,10,7.2,28.826,34.799,12
5427,Tsu,1995,12,3,33,7.9,44.663,149.3,
5428,Tsu,1996,1,1,24,7.9,0.729,119.931,
5433,Tsu,1996,2,17,33,8.2,-0.891,136.952,54
5435,Tsu,1996,2,21,10,7.5,-9.593,-79.587,
6497,Tsu,1996,2,25,21,7.1,15.978,-98.07,
5438,,1996,4,29,44,7.2,-6.518,154.999,1
5440,Tsu,1996,6,10,33,7.9,51.564,-177.632,
6498,Tsu,1996,6,10,24,7.3,51.478,-176.847,
6500,Tsu,1996,9,5,10,6.9,-22.118,-113.436,
10233,Tsu,1996,9,5,20,6.8,21.898,121.498,
5442,Tsu,1996,11,12,33,7.7,-14.993,-75.675,14
5444,,1997,1,11,33,7.2,18.219,-102.756,1
5449,,1997,2,27,33,7.1,29.976,68.208,60
5458,Tsu,1997,4,21,33,7.7,-12.584,166.676,
5461,,1997,5,10,10,7.2,33.825,59.809,1728
5467,Tsu,1997,7,9,20,7,10.598,-63.486,81
6820,Tsu,1997,10,14,167,7.7,-22.101,-176.772,
5475,,1997,10,15,58,7.1,-30.933,-71.22,8
5476,,1997,11,8,33,7.5,35.069,87.325,
5479,,1997,11,25,24,7,1.241,122.536,
5480,Tsu,1997,12,5,33,7.8,54.841,162.035,
5489,Tsu,1998,3,25,10,8.1,-62.877,149.527,
6502,Tsu,1998,5,3,33,7.5,22.306,125.308,
5501,Tsu,1998,7,17,25,7,-2.943,142.582,
5502,,1998,8,4,33,7.2,-0.593,-80.393,3
5510,Tsu,1998,11,29,33,7.7,-2.071,124.891,41
5520,,1999,4,3,87,6.8,-16.66,-72.662,1
5523,,1999,6,15,70,7,18.386,-97.436,20
5527,Tsu,1999,8,17,13,7.6,40.76,29.97,17118
5535,,1999,9,20,33,7.7,23.772,120.982,2297
5537,,1999,9,30,61,7.5,16.059,-96.931,35
5538,,1999,10,16,,7.2,34.594,-116.271,
5543,,1999,11,12,10,7.2,40.758,31.161,894
5545,Tsu,1999,11,26,33,7.5,-16.423,168.214,5
5548,,1999,12,11,33,7.3,15.766,119.74,5
5556,,2000,3,28,127,7.6,22.338,143.73,
5557,Tsu,2000,5,4,26,7.6,-1.105,123.573,46
5560,,2000,6,4,33,7.9,-4.721,102.087,103
5565,Tsu,2000,6,18,10,7.9,-13.802,97.453,
5574,,2000,8,4,10,6.8,48.786,142.246,
5581,Tsu,2000,11,16,33,8,-3.98,152.169,2
5582,,2000,11,16,30,7.8,-5.233,153.102,
5583,,2000,11,17,33,7.8,-5.496,151.781,
5584,,2000,11,25,50,6.8,40.245,49.946,31
5585,,2000,12,6,30,7,39.566,54.799,11
8952,,2001,1,1,33,7.5,6.898,126.579,
5587,Tsu,2001,1,13,60,7.7,13.049,-88.66,844
5589,,2001,1,26,16,7.7,23.419,70.232,20005
5595,,2001,2,28,52,6.8,47.149,-122.727,1
5596,,2001,3,24,50,6.8,34.083,132.526,2
5601,Tsu,2001,6,23,33,8.4,-16.265,-73.641,77
5604,,2001,7,7,33,7.6,-17.543,-72.077,1
5609,,2001,10,12,37,7,12.686,144.98,
5610,,2001,10,19,33,7.5,-4.102,123.907,
5612,,2001,11,14,10,7.8,35.946,90.541,
6613,Tsu,2001,12,18,14,6.8,23.954,122.734,
5614,Tsu,2002,1,2,21,7.2,-17.6,167.856,
5624,,2002,3,3,226,7.4,36.502,70.482,166
5625,Tsu,2002,3,5,31,7.5,6.033,124.249,15
5627,Tsu,2002,3,31,33,7.1,24.279,122.179,5
5635,,2002,4,26,86,7.1,13.088,144.619,
8953,,2002,8,19,580,7.7,-21.696,-179.513,
8954,,2002,8,19,675,7.7,-23.884,178.495,
5649,Tsu,2002,9,8,13,7.6,-3.302,142.945,4
5656,Tsu,2002,10,10,10,7.6,-1.757,134.297,8
5662,,2002,11,2,30,7.3,2.824,96.085,3
5663,,2002,11,3,5,7.9,63.517,-147.444,
5672,Tsu,2003,1,20,33,7.3,-10.491,160.77,
5673,Tsu,2003,1,22,24,7.5,18.77,-104.104,29
5694,Tsu,2003,5,21,12,6.8,36.964,3.634,2266
5695,,2003,5,26,68,7,38.849,141.568,
5696,,2003,5,26,31,7,2.354,128.855,1
5688,,2003,6,20,33,6.8,-30.608,-71.637,
5706,,2003,7,15,10,7.6,-2.598,68.382,
5712,,2003,8,4,10,7.6,-60.532,-43.411,
5719,Tsu,2003,8,21,28,7.2,-45.104,167.144,
5724,Tsu,2003,9,25,27,8.3,41.815,143.91,
5725,,2003,9,27,16,7.3,50.038,87.813,3
6610,Tsu,2003,10,31,10,7,37.812,142.619,
5735,Tsu,2003,11,17,33,7.8,51.146,178.65,
5746,,2003,12,10,10,6.8,23.039,121.362,
5758,,2004,2,5,17,7,-3.615,135.538,37
5759,,2004,2,7,10,7.3,-4.003,135.023,
5798,Tsu,2004,9,5,14,7.2,33.07,136.618,
5799,Tsu,2004,9,5,10,7.4,33.184,137.071,
5810,Tsu,2004,11,11,10,7.5,-8.152,124.868,34
5811,,2004,11,15,15,7.2,4.695,-77.508,
5815,Tsu,2004,11,22,10,7.1,-46.676,164.721,
5817,,2004,11,26,10,7.1,-3.609,135.404,32
5818,Tsu,2004,11,28,39,7,43.006,145.119,
5833,,2004,12,6,35,6.8,42.9,145.228,
5835,Tsu,2004,12,23,10,8.1,-49.312,161.345,
5823,Tsu,2004,12,26,30,9.1,3.316,95.854,1001
6657,Tsu,2005,3,28,30,8.6,2.085,97.108,1303
8135,,2005,6,13,116,7.7,-19.987,-69.197,11
6738,Tsu,2005,6,15,10,7.2,41.301,-125.97,
6762,,2005,7,24,16,7.2,7.92,92.19,
6739,Tsu,2005,8,16,36,7.2,38.276,142.039,
6775,,2005,9,9,90,7.7,-4.539,153.474,
6776,,2005,9,26,115,7.5,-5.678,-76.398,5
6778,,2005,10,8,26,7.6,34.539,73.588,86000
6827,Tsu,2005,11,14,11,7,38.107,144.896,
6830,,2005,12,5,22,6.8,-6.224,29.83,6
8956,,2006,1,27,397,7.6,-5.473,128.131,
7225,,2006,2,22,11,7,-21.324,33.583,4
7241,,2006,4,20,22,7.6,60.949,167.089,
7078,Tsu,2006,5,3,55,7.9,-20.187,-174.123,
7181,Tsu,2006,7,17,34,7.7,-9.254,107.411,
7369,Tsu,2006,9,28,28,6.9,-16.592,-172.033,
7406,Tsu,2006,11,15,10,8.3,46.592,153.266,
7413,Tsu,2006,12,26,10,7,21.799,120.547,2
7415,Tsu,2007,1,13,10,8.1,46.243,154.524,
7456,,2007,1,21,22,7.5,1.065,126.282,4
7459,Tsu,2007,3,25,34,7.1,-20.617,169.357,
7457,Tsu,2007,4,1,24,8.1,-8.466,157.043,54
7599,,2007,7,26,25,6.9,2.872,127.464,
7600,,2007,8,1,120,7.2,-15.595,167.68,
7533,,2007,8,8,289,7.5,-5.968,107.655,
7537,Tsu,2007,8,15,39,8,-13.386,-76.603,514
8136,Tsu,2007,9,2,35,7.2,-11.61,165.762,
7695,,2007,9,10,31,6.8,2.982,-77.967,
7574,Tsu,2007,9,12,34,8.4,-4.438,101.367,25
7575,,2007,9,12,35,7.9,-2.625,100.841,
8957,,2007,9,28,260,7.5,22.013,142.668,
7594,Tsu,2007,9,30,10,7.4,-49.418,163.954,
7696,,2007,10,15,26,6.8,-44.785,167.583,
7634,Tsu,2007,11,14,40,7.7,-22.247,-69.89,2
7702,,2007,11,16,123,6.8,-2.312,-77.838,
7675,Tsu,2007,11,29,156,7.4,14.944,-61.274,1
7694,Tsu,2007,12,9,153,7.8,-25.996,-177.514,
7870,,2008,2,20,26,7.4,2.768,95.964,3
7875,,2008,3,20,10,7.2,35.49,81.467,
7800,Tsu,2008,4,9,33,7.3,-20.071,168.892,
8130,,2008,5,7,39,6.8,36.158,141.521,
7843,Tsu,2008,5,12,19,7.9,31.002,103.322,87652
7907,,2008,6,13,8,6.9,39.03,140.881,13
8955,,2008,7,5,633,7.7,53.882,152.886,
7971,Tsu,2008,7,19,22,6.9,37.552,142.214,
8164,,2008,7,23,108,6.8,39.802,141.464,1
8134,Tsu,2008,9,11,25,6.8,41.892,143.754,
8191,Tsu,2008,11,16,30,7.3,1.271,122.091,6
8204,Tsu,2009,1,3,17,7.6,-0.414,132.885,5
8211,Tsu,2009,1,3,23,7.3,-0.691,133.305,
8250,Tsu,2009,1,15,36,7.4,46.857,155.154,
8251,Tsu,2009,2,11,22,7.2,3.884,126.397,
8259,Tsu,2009,3,19,34,7.6,-23.046,-174.659,
8297,Tsu,2009,5,28,10,7.3,16.72,-86.236,7
8357,Tsu,2009,7,15,12,7.8,-45.762,166.562,
8378,Tsu,2009,8,10,5,7.5,14.099,92.888,
8386,,2009,9,2,46,7,-7.782,107.297,81
8408,Tsu,2009,9,29,18,8.1,-15.489,-172.095,
8409,Tsu,2009,9,30,81,7.5,-0.72,99.867,1117
8410,Tsu,2009,10,7,45,7.6,-13.006,166.51,
8572,,2009,10,7,35,7.8,-12.517,166.382,
8673,Tsu,2010,1,3,25,7.1,-8.799,157.346,
8692,Tsu,2010,1,5,15,6.8,-9.019,157.551,
8732,Tsu,2010,1,12,13,7,18.457,-72.533,316000
9032,Tsu,2010,2,26,25,7,25.93,128.425,
8872,Tsu,2010,2,27,23,8.8,-36.122,-72.898,402
8912,Tsu,2010,3,11,11,6.9,-34.29,-71.891,
8932,,2010,4,4,4,7.2,32.297,-115.278,2
8973,Tsu,2010,4,6,31,7.8,2.383,97.048,
8972,,2010,4,13,17,6.9,33.165,96.548,2220
9092,,2010,5,9,38,7.2,3.748,96.018,
9252,Tsu,2010,6,12,35,7.5,7.881,91.936,
9292,,2010,6,16,18,7,-2.174,136.543,17
9432,,2010,7,23,586,7.6,6.486,123.467,
9452,Tsu,2010,8,10,25,7.2,-17.541,168.069,
9770,,2010,8,12,207,7.1,-1.266,-77.306,
9612,Tsu,2010,8,13,10,6.9,12.484,141.476,
9492,,2010,9,3,12,7,-43.522,171.83,
9592,Tsu,2010,10,25,20,7.8,-3.487,100.082,
9759,Tsu,2010,12,21,14,7.4,26.901,143.698,
9761,Tsu,2010,12,25,16,7.3,-19.702,167.947,
9763,,2011,1,18,68,7.2,28.777,63.951,3
9776,Tsu,2011,2,11,28,6.8,-36.474,-73.125,
9797,Tsu,2011,3,9,32,7.5,38.435,142.842,
